Country,Category,Time (minutes)
New Zealand,Eating and drinking,80
Norway ,Eating and drinking,79
Poland,Eating and drinking,91
Portugal,Eating and drinking,112
Slovenia,Eating and drinking,86
Spain,Eating and drinking,126
Sweden,Eating and drinking,83
Turkey,Eating and drinking,118
UK,Eating and drinking,79
USA,Eating and drinking,63
China,Eating and drinking,100
India,Eating and drinking,84
South Africa,Eating and drinking,72
Australia,Personal care,56
Austria,Personal care,55
Belgium,Personal care,53
Canada,Personal care,52
Denmark,Personal care,52
Estonia,Personal care,54
Finland,Personal care,52
France,Personal care,107
Germany,Personal care,55
Greece,Personal care,57
Hungary,Personal care,76
Ireland,Personal care,42
Italy ,Personal care,68
Japan,Personal care,85
Korea,Personal care,90
Latvia,Personal care,40
Lithuania,Personal care,54
Luxembourg,Personal care,55
Mexico,Personal care,58
Netherlands,Personal care,65
New Zealand,Personal care,42
Norway ,Personal care,56
Poland,Personal care,57
Portugal,Personal care,58
Slovenia,Personal care,41
Spain,Personal care,51
Sweden,Personal care,57
Turkey,Personal care,50
UK,Personal care,58
USA,Personal care,57
China,Personal care,52
India,Personal care,75
South Africa,Personal care,70
Australia,Sports,19
Austria,Sports,32
Belgium,Sports,21
Canada,Sports,21
Denmark,Sports,22
Estonia,Sports,27
Finland,Sports,37
France,Sports,12
Germany,Sports,26
Greece,Sports,28
Hungary,Sports,13
Ireland,Sports,20
Italy ,Sports,38
Japan,Sports,10
Korea,Sports,27
Latvia,Sports,25
Lithuania,Sports,16
Luxembourg,Sports,33
Mexico,Sports,14
Netherlands,Sports,22
New Zealand,Sports,17
Norway ,Sports,21
Poland,Sports,23
Portugal,Sports,12
Slovenia,Sports,32
Spain,Sports,42
Sweden,Sports,34
Turkey,Sports,9
UK,Sports,19
USA,Sports,18
China,Sports,23
India,Sports,5
South Africa,Sports,5
Australia,Attending events,6
Austria,Attending events,9
Belgium,Attending events,15
Canada,Attending events,6
Denmark,Attending events,7
Estonia,Attending events,8
Finland,Attending events,8
France,Attending events,15
Germany,Attending events,14
Greece,Attending events,5
Hungary,Attending events,6
Ireland,Attending events,42
Italy ,Attending events,6
Korea,Attending events,4
Latvia,Attending events,5
Lithuania,Attending events,1
Luxembourg,Attending events,12
Mexico,Attending events,7
Netherlands,Attending events,7
New Zealand,Attending events,6
Norway ,Attending events,8
Poland,Attending events,3
Portugal,Attending events,11
Slovenia,Attending events,5
Spain,Attending events,9
Sweden,Attending events,9
Turkey,Attending events,3
UK,Attending events,7
USA,Attending events,8
China,Attending events,2
India,Attending events,5
South Africa,Attending events,5
Australia,Seeing friends,40
Austria,Seeing friends,82
Belgium,Seeing friends,50
Canada,Seeing friends,53
Denmark,Seeing friends,81
Estonia,Seeing friends,38
Finland,Seeing friends,55
France,Seeing friends,55
Germany,Seeing friends,61
Greece,Seeing friends,56
Hungary,Seeing friends,35
Ireland,Seeing friends,49
Italy ,Seeing friends,65
Japan,Seeing friends,17
Korea,Seeing friends,42
Latvia,Seeing friends,35
Lithuania,Seeing friends,32
Luxembourg,Seeing friends,32
Mexico,Seeing friends,44
Netherlands,Seeing friends,73
New Zealand,Seeing friends,69
Norway ,Seeing friends,57
Poland,Seeing friends,45
Portugal,Seeing friends,44
Slovenia,Seeing friends,62
Spain,Seeing friends,51
Sweden,Seeing friends,53
Turkey,Seeing friends,68
UK,Seeing friends,47
USA,Seeing friends,44
China,Seeing friends,23
India,Seeing friends,73
South Africa,Seeing friends,82
Australia,TV and Radio,140
Austria,TV and Radio,109
Belgium,TV and Radio,131
Canada,TV and Radio,109
Denmark,TV and Radio,123
Estonia,TV and Radio,122
Finland,TV and Radio,118
France,TV and Radio,114
Germany,TV and Radio,118
Greece,TV and Radio,137
Hungary,TV and Radio,134
Ireland,TV and Radio,85
Italy ,TV and Radio,104
Japan,TV and Radio,103
Korea,TV and Radio,102
Latvia,TV and Radio,123
Lithuania,TV and Radio,137
Luxembourg,TV and Radio,116
Mexico,TV and Radio,66
Netherlands,TV and Radio,113
New Zealand,TV and Radio,124
Norway ,TV and Radio,129
Poland,TV and Radio,122
Portugal,TV and Radio,114
Slovenia,TV and Radio,120
Spain,TV and Radio,129
Sweden,TV and Radio,113
Turkey,TV and Radio,124
UK,TV and Radio,133
USA,TV and Radio,148
China,TV and Radio,127
India,TV and Radio,61
South Africa,TV and Radio,132
Australia,Other leisure activities,76
Austria,Other leisure activities,59
Belgium,Other leisure activities,122
Canada,Other leisure activities,89
Denmark,Other leisure activities,95
Estonia,Other leisure activities,114
Finland,Other leisure activities,113
France,Other leisure activities,98
Germany,Other leisure activities,112
Greece,Other leisure activities,115
Hungary,Other leisure activities,94
Ireland,Other leisure activities,116
Italy ,Other leisure activities,110
Japan,Other leisure activities,148
Korea,Other leisure activities,82
Latvia,Other leisure activities,81
Lithuania,Other leisure activities,61
Luxembourg,Other leisure activities,82
Mexico,Other leisure activities,41
Netherlands,Other leisure activities,101
New Zealand,Other leisure activities,85
Norway ,Other leisure activities,154
Poland,Other leisure activities,93
Portugal,Other leisure activities,60
Slovenia,Other leisure activities,92
Spain,Other leisure activities,85
Sweden,Other leisure activities,112
Turkey,Other leisure activities,82
UK,Other leisure activities,98
USA,Other leisure activities,73
China,Other leisure activities,53
India,Other leisure activities,109
South Africa,Other leisure activities,82
